"",model,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,model_type,n_clusters,MAE,MAPE,eps,min_samples
37,"DBSCAN(eps=1500, min_samples=4)",0.491689,1.028358,17.650820,DBSCAN,NaN,40.555786,0.536952,1500.0,4.0
38,DBSCAN(eps=1500),0.491689,1.028358,17.650820,DBSCAN,NaN,40.555786,0.536952,1500.0,5.0
33,"DBSCAN(eps=1000, min_samples=3)",0.343547,2.436846,11.023698,DBSCAN,NaN,40.519915,0.540966,1000.0,3.0
34,"DBSCAN(eps=1000, min_samples=4)",0.343547,2.436846,11.023698,DBSCAN,NaN,40.519915,0.540966,1000.0,4.0
35,DBSCAN(eps=1000),0.343547,2.436846,11.023698,DBSCAN,NaN,40.519915,0.540966,1000.0,5.0
36,"DBSCAN(eps=1500, min_samples=3)",0.328344,0.575693,11.985173,DBSCAN,NaN,40.555786,0.536952,1500.0,3.0
20,"GaussianMixture(n_components=2, random_state=0)",0.307621,1.267725,174.104884,GMM,2.0,37.314871,0.490976,NaN,NaN
0,"KMeans(n_clusters=2, n_init=10, random_state=0)",0.307621,1.267725,174.104884,KMeans,2.0,36.337745,0.460509,NaN,NaN
10,AgglomerativeClustering(),0.290945,1.279138,159.821505,Agglomerative,2.0,36.768199,0.458796,NaN,NaN
1,"KMeans(n_clusters=3, n_init=10, random_state=0)",0.271584,1.349397,159.136026,KMeans,3.0,36.920003,0.460974,NaN,NaN
21,"GaussianMixture(n_components=3, random_state=0)",0.269241,1.358789,159.134213,GMM,3.0,35.012885,0.438188,NaN,NaN
3,"KMeans(n_clusters=5, n_init=10, random_state=0)",0.268920,1.230407,123.637896,KMeans,5.0,42.722613,0.451536,NaN,NaN
11,AgglomerativeClustering(n_clusters=3),0.268112,1.313811,148.607605,Agglomerative,3.0,50.098316,0.417452,NaN,NaN
2,"KMeans(n_clusters=4, n_init=10, random_state=0)",0.266348,1.460342,132.996494,KMeans,4.0,36.787517,0.418343,NaN,NaN
13,AgglomerativeClustering(n_clusters=5),0.263778,1.231404,118.054696,Agglomerative,5.0,52.239252,0.409330,NaN,NaN
12,AgglomerativeClustering(n_clusters=4),0.257637,1.460274,127.187152,Agglomerative,4.0,44.463038,0.376988,NaN,NaN
14,AgglomerativeClustering(n_clusters=6),0.250363,1.460171,108.679506,Agglomerative,6.0,48.191179,0.376657,NaN,NaN
15,AgglomerativeClustering(n_clusters=7),0.243157,1.513606,100.749684,Agglomerative,7.0,47.014880,0.350476,NaN,NaN
25,"GaussianMixture(n_components=7, random_state=0)",0.241332,1.481357,103.050630,GMM,7.0,38.318758,0.468580,NaN,NaN
16,AgglomerativeClustering(n_clusters=8),0.239635,1.440534,91.736572,Agglomerative,8.0,38.978644,0.325378,NaN,NaN
24,"GaussianMixture(n_components=6, random_state=0)",0.239601,1.454940,115.185215,GMM,6.0,37.330952,0.470416,NaN,NaN
4,"KMeans(n_clusters=6, n_init=10, random_state=0)",0.238024,1.453179,115.255217,KMeans,6.0,37.291141,0.464521,NaN,NaN
